"name","total_given","total_completed","completion_rate"
Mobile,5,4,80.0000000000000000
ArcelorMittal SAP,36,25,69.4444444444444444
Sprint Benders,35,24,68.5714285714285714
Login Shield,46,31,67.3913043478260870
Kampanyalar,46,31,67.3913043478260870
Kaizen,8,5,62.5000000000000000
Ödemeler,50,31,62.0000000000000000
team 2,5,3,60.0000000000000000
team 1,5,3,60.0000000000000000
SampleTeam,12,7,58.3333333333333333
onabu,14,8,57.1428571428571429
Kare,17,9,52.9411764705882353
cycle,17,9,52.9411764705882353
My team,6,3,50.0000000000000000
agile,20,10,50.0000000000000000
b,20,10,50.0000000000000000
Transformation team,6,3,50.0000000000000000
Onabu Team,20,10,50.0000000000000000
Denemedeneme,7,3,42.8571428571428571
No name 2,5,2,40.0000000000000000
"1",5,2,40.0000000000000000
Team One,5,2,40.0000000000000000
The Nimbleer,5,2,40.0000000000000000
Agile Studio,13,5,38.4615384615384615
Team Anka,9,3,33.3333333333333333
ati,4,1,25.0000000000000000
Money Faturacılar,27,5,18.5185185185185185
Çözeriz A.Ş,27,5,18.5185185185185185
Alpha - İpek,24,4,16.6666666666666667
XYZ,8,1,12.5000000000000000
Deneme,40,4,10.0000000000000000
Pes,11,0,0.00000000000000000000
"1st Team",1,0,0.00000000000000000000
Team A,5,0,0.00000000000000000000
Takım1,3,0,0.00000000000000000000
Argonauts,2,0,0.00000000000000000000
Hesaplaşma,4,0,0.00000000000000000000
Yeni takım,2,0,0.00000000000000000000
OBH2,10,0,0.00000000000000000000
Asdfg,5,0,0.00000000000000000000
Paul,1,0,0.00000000000000000000
Big Boss,3,0,0.00000000000000000000
Kalt,11,0,0.00000000000000000000
Asd,5,0,0.00000000000000000000
OBH,10,0,0.00000000000000000000
H,1,0,0.00000000000000000000
Camunda,5,0,0.00000000000000000000
Fly,3,0,0.00000000000000000000
Workflow,5,0,0.00000000000000000000
My Team,1,0,0.00000000000000000000
Vodafone CSR Team,1,0,0.00000000000000000000
Mauro Icardi,1,0,0.00000000000000000000
Sample Team,5,0,0.00000000000000000000
